CustomerID,Gender,Age,Married,Number of Dependents,Zip Code,Number of Referrals,Tenure in Months,Offer,Phone Service,Internet Service,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Customer Status,Churn Category,Churn Reason
0115-TFERT,Male,24,Yes,0,93650,1,21,None,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,111.2,3198.56,0.0,Churned,Attitude,Attitude of service provider
0117-LFRMW,Male,52,Yes,1,94508,1,37,None,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,1448.8,0.0,Churned,Competitor,Competitor offered more data
0118-JPNOY,Female,71,No,0,95333,0,26,None,Yes,Yes,Month-to-Month,Yes,Credit Card,85.8,3070.8900000000003,0.0,Stayed,,
0121-SNYRK,Male,45,No,0,95560,0,50,Offer B,No,Yes,One Year,Yes,Credit Card,35.4,1748.9,0.0,Stayed,,
0122-OAHPZ,Female,29,No,0,92122,0,7,None,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,711.59,13.03,Churned,Competitor,Competitor made better offer
0123-CRBRT,Female,62,Yes,0,91755,1,61,Offer B,Yes,Yes,Two Year,No,Mailed Check,88.1,8405.34,0.0,Stayed,,
0125-LZQXK,Male,42,No,0,95305,0,15,Offer D,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,2242.75,0.0,Churned,Attitude,Attitude of service provider
0128-MKWSG,Female,51,No,2,91381,0,26,None,No,Yes,Month-to-Month,No,Credit Card,45.8,1147.0,0.0,Stayed,,
0129-KPTWJ,Male,39,Yes,0,95660,9,72,None,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.65,9139.19,0.0,Stayed,,
0129-QMPDR,Male,64,Yes,0,91746,1,44,None,Yes,No,One Year,Yes,Bank Withdrawal,20.5,2070.6499999999996,0.0,Stayed,,
0130-SXOUN,Male,55,No,0,95443,0,66,Offer A,Yes,Yes,Month-to-Month,No,Credit Card,89.4,9236.38,36.02,Stayed,,
0133-BMFZO,Female,40,No,0,91803,0,2,None,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,86.25,255.27,0.0,Churned,Competitor,Competitor offered higher download speeds
0134-XWXCE,Female,76,No,0,90403,0,44,None,Yes,Yes,One Year,No,Bank Withdrawal,74.85,3607.73,17.91,Stayed,,
0135-NMXAP,Female,57,No,0,95240,0,12,Offer D,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.75,1224.96,0.0,Churned,Attitude,Attitude of support person
0136-IFMYD,Male,71,Yes,0,90001,1,69,None,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.95,8904.54,0.0,Stayed,,
0137-OCGAB,Female,25,No,0,94533,0,1,Offer E,Yes,Yes,Month-to-Month,Yes,Mailed Check,80.2,81.43,0.0,Churned,Price,Lack of affordable download/upload speed
0137-UDEUO,Female,24,No,0,95204,0,3,Offer E,Yes,No,Month-to-Month,No,Credit Card,19.85,141.0,0.0,Churned,Price,Long distance charges
0139-IVFJG,Female,19,Yes,0,92592,10,2,None,Yes,Yes,Month-to-Month,No,Bank Withdrawal,90.35,199.8,0.0,Joined,,
0141-YEAYS,Female,77,No,0,92028,0,27,None,Yes,Yes,Two Year,Yes,Bank Withdrawal,86.45,2481.2400000000002,0.0,Stayed,,
0142-GVYSN,Male,57,No,0,93554,0,26,Offer C,Yes,No,Month-to-Month,Yes,Bank Withdrawal,20.3,858.0899999999999,0.0,Stayed,,
0147-ESWWR,Female,73,Yes,0,93422,9,39,None,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.25,4735.0,0.0,Stayed,,
0148-DCDOS,Male,41,No,0,95365,0,25,None,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.7,3234.1,0.0,Churned,Competitor,Competitor had better devices
0151-ONTOV,Female,43,No,0,93021,0,1,Offer E,Yes,Yes,Month-to-Month,No,Mailed Check,70.9,110.71000000000001,0.0,Churned,Competitor,Competitor had better devices
0156-FVPTA,Male,48,Yes,0,93463,1,22,Offer D,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,54.2,1751.98,0.0,Churned,Attitude,Attitude of service provider
0164-APGRB,Female,56,No,0,94515,0,72,Offer A,Yes,Yes,Two Year,Yes,Bank Withdrawal,114.9,11979.34,0.0,Stayed,,
0164-XAIRP,Female,51,No,0,90638,0,24,None,Yes,No,Two Year,Yes,Bank Withdrawal,19.55,725.56,0.0,Stayed,,
0168-XZKBB,Female,34,Yes,0,93516,8,19,None,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,86.85,1713.3600000000001,0.0,Stayed,,
0174-QRVVY,Male,21,Yes,2,92078,2,71,None,Yes,No,Two Year,No,Credit Card,25.35,2500.75,0.0,Stayed,,
0177-PXBAT,Male,78,Yes,0,92239,7,33,None,Yes,Yes,One Year,Yes,Bank Withdrawal,109.9,4524.65,0.0,Stayed,,
0178-CIIKR,Female,60,No,0,95313,0,3,None,Yes,No,Month-to-Month,No,Credit Card,19.95,66.07,0.0,Joined,,
0178-SZBHO,Male,54,Yes,1,95379,7,47,None,Yes,Yes,Month-to-Month,No,Bank Withdrawal,87.2,4068.68,0.0,Stayed,,
0181-RITDD,Male,42,Yes,3,92120,2,62,None,Yes,Yes,Two Year,No,Credit Card,108.15,6934.7699999999995,0.0,Stayed,,
0186-CAERR,Male,22,No,0,95603,0,71,None,Yes,Yes,One Year,Yes,Bank Withdrawal,116.3,8514.029999999999,0.0,Stayed,,
0187-QSXOE,Male,71,Yes,0,93725,8,7,None,Yes,Yes,Two Year,Yes,Bank Withdrawal,89.0,899.24,0.0,Stayed,,
0187-WZNAB,Female,56,Yes,2,93616,6,27,Offer C,Yes,Yes,Month-to-Month,No,Credit Card,74.4,3232.17,0.0,Stayed,,
0188-GWFLE,Male,33,No,0,94065,0,2,None,Yes,No,Month-to-Month,No,Credit Card,20.05,37.32,0.0,Joined,,
0191-EQUUH,Female,32,No,3,92285,0,25,Offer C,No,Yes,Two Year,No,Bank Withdrawal,35.05,844.45,0.0,Stayed,,
0191-ZHSKZ,Male,80,No,0,90250,0,30,None,Yes,Yes,One Year,Yes,Bank Withdrawal,74.75,3269.6000000000004,0.0,Stayed,,
0193-ESZXP,Female,73,Yes,0,93445,1,58,None,Yes,Yes,One Year,Yes,Credit Card,105.5,7188.02,0.0,Churned,Attitude,Attitude of support person
0195-IESCP,Male,26,Yes,0,93202,1,10,Offer D,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.25,975.5,0.0,Churned,Competitor,Competitor offered more data
0196-JTUQI,Female,59,No,0,95612,0,9,None,Yes,Yes,Month-to-Month,Yes,Credit Card,75.2,717.28,0.0,Stayed,,
0196-VULGZ,Female,78,Yes,0,92620,1,6,None,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.35,647.16,0.0,Churned,Other,Deceased
0197-PNKNK,Female,47,Yes,1,95066,7,69,None,Yes,Yes,One Year,No,Bank Withdrawal,84.45,8574.08,0.0,Stayed,,
0201-MIBOL,Female,68,No,0,95368,0,66,None,Yes,Yes,Two Year,Yes,Bank Withdrawal,102.4,7161.55,0.0,Stayed,,
0201-OAMXR,Female,30,No,0,95519,0,70,Offer A,Yes,Yes,One Year,No,Credit Card,115.55,8842.300000000001,0.0,Churned,Dissatisfaction,Network reliability
0203-HHYIJ,Male,62,No,0,94027,0,25,Offer C,Yes,No,One Year,No,Bank Withdrawal,25.3,815.6,0.0,Churned,Price,Long distance charges
0206-OYVOC,Female,52,Yes,2,92649,1,46,Offer B,Yes,No,Two Year,Yes,Credit Card,19.25,1983.38,0.0,Stayed,,
0206-TBWLC,Female,63,Yes,0,92320,7,54,Offer B,Yes,Yes,One Year,Yes,Credit Card,114.65,6665.1,0.0,Stayed,,
0207-MDKNV,Female,54,No,0,94014,0,15,None,Yes,Yes,Month-to-Month,No,Bank Withdrawal,105.1,1918.6,0.0,Churned,Competitor,Competitor made better offer
0208-BPQEJ,Female,48,Yes,1,95461,0,12,Offer D,Yes,No,Month-to-Month,No,Bank Withdrawal,19.4,297.1,0.0,Stayed,,
0212-ISBBF,Female,51,No,0,94705,0,22,None,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.35,1098.85,0.0,Stayed,,
0214-JHPFW,Female,22,Yes,0,93249,9,70,None,No,Yes,Two Year,No,Bank Withdrawal,57.8,4039.3,1.01,Stayed,,
0215-BQKGS,Male,52,No,0,92844,0,30,Offer C,Yes,Yes,Month-to-Month,Yes,Credit Card,84.3,3310.5,0.0,Stayed,,
0218-QNVAS,Male,22,Yes,1,92203,1,71,Offer A,Yes,Yes,One Year,No,Bank Withdrawal,100.55,9125.89,16.99,Stayed,,
0219-QAERP,Male,33,Yes,0,93033,2,30,None,Yes,No,One Year,No,Credit Card,19.8,870.95,0.0,Stayed,,
0219-YTZUE,Male,26,Yes,0,92122,5,4,Offer E,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.8,486.97999999999996,0.0,Churned,Competitor,Competitor made better offer
0220-EBGCE,Male,58,No,0,92027,0,2,Offer E,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.85,195.58,0.0,Churned,Competitor,Competitor made better offer
0221-NAUXK,Male,22,No,1,92553,0,10,None,Yes,No,One Year,Yes,Bank Withdrawal,19.95,298.1,0.0,Stayed,,
0221-WMXNQ,Male,66,No,0,91710,0,4,Offer E,Yes,Yes,One Year,No,Bank Withdrawal,75.35,419.0,0.0,Stayed,,
0222-CNVPT,Male,69,No,0,95820,0,52,Offer B,No,Yes,Two Year,Yes,Credit Card,48.8,2555.05,0.0,Stayed,,
0224-HJAPT,Male,25,No,0,92117,0,5,None,Yes,Yes,Month-to-Month,No,Bank Withdrawal,47.15,333.2,0.0,Churned,Competitor,Competitor made better offer
0224-NIJLP,Male,30,Yes,3,95380,1,8,Offer E,Yes,No,Two Year,No,Credit Card,20.15,188.46,0.0,Stayed,,
0224-RLWWD,Female,73,No,0,92231,0,2,Offer E,Yes,Yes,One Year,Yes,Bank Withdrawal,44.3,137.12,0.0,Joined,,
0225-ZORZP,Male,46,No,0,95321,0,3,Offer E,Yes,Yes,Month-to-Month,No,Bank Withdrawal,84.3,276.21000000000004,0.0,Joined,,
0228-MAUWC,Male,40,No,0,95033,0,19,Offer D,Yes,Yes,Month-to-Month,No,Bank Withdrawal,59.55,1369.75,0.0,Stayed,,
0229-LFJAF,Male,53,No,0,93611,0,72,Offer A,Yes,Yes,Two Year,No,Bank Withdrawal,69.65,5171.77,0.0,Stayed,,
0230-UBYPQ,Male,76,Yes,0,96046,2,63,Offer B,No,Yes,One Year,No,Bank Withdrawal,36.1,2298.9,0.0,Stayed,,
0230-WEQUW,Male,38,Yes,0,91364,1,66,None,No,Yes,Two Year,Yes,Bank Withdrawal,56.6,3789.2,0.0,Stayed,,
0231-LXVAP,Male,23,No,0,92592,0,1,None,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,75.9,120.46000000000001,0.0,Churned,Competitor,Competitor made better offer
0233-FTHAV,Female,24,No,0,95334,0,60,None,Yes,Yes,One Year,Yes,Bank Withdrawal,79.2,5682.4,0.0,Stayed,,
0234-TEVTT,Female,43,Yes,3,93274,3,48,None,No,Yes,One Year,No,Credit Card,45.0,2196.3,0.0,Stayed,,
0235-KGSLC,Female,45,No,0,93427,0,1,Offer E,Yes,Yes,Month-to-Month,Yes,Credit Card,85.55,118.89,0.0,Churned,Other,Moved
0236-HFWSV,Male,49,No,0,93552,0,15,None,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.35,2178.6000000000004,0.0,Churned,Competitor,Competitor had better devices
0237-YFUTL,Female,62,Yes,0,92655,4,50,Offer B,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,109.65,7134.3,0.0,Stayed,,
0238-WHBIQ,Male,25,Yes,1,95630,10,72,Offer A,Yes,Yes,Two Year,No,Credit Card,89.7,8769.3,0.0,Stayed,,
0239-OXEXL,Female,37,No,0,94619,0,46,None,Yes,Yes,Month-to-Month,No,Credit Card,84.25,5938.02,0.0,Stayed,,
0244-LGNFY,Female,35,Yes,1,94960,4,72,None,Yes,Yes,Two Year,No,Bank Withdrawal,92.65,8893.0,0.0,Stayed,,
0247-SLUJI,Male,37,Yes,3,91010,2,1,None,Yes,No,Month-to-Month,No,Credit Card,19.7,53.980000000000004,0.0,Joined,,
0248-IPDFW,Female,19,No,0,92530,0,1,None,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,50.1,79.23,0.0,Joined,,
0248-PGHBZ,Female,69,No,0,92672,0,67,Offer A,Yes,Yes,Two Year,Yes,Bank Withdrawal,92.45,6313.04,0.0,Stayed,,
0253-ZTEOB,Female,44,Yes,1,90004,5,48,None,Yes,Yes,Two Year,No,Bank Withdrawal,79.65,4299.42,0.0,Stayed,,
0254-FNMCI,Female,19,No,0,90241,0,72,None,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.9,10641.72,0.0,Stayed,,
0254-KCJGT,Male,64,Yes,0,94923,6,52,Offer B,Yes,Yes,One Year,Yes,Credit Card,81.4,6504.129999999999,0.0,Stayed,,
0254-WWRKD,Female,44,Yes,3,95925,1,67,Offer A,Yes,Yes,One Year,No,Credit Card,50.55,6574.05,0.0,Stayed,,
0256-LTHVJ,Female,58,Yes,0,92338,1,28,Offer C,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,81.05,2698.9,0.0,Churned,Competitor,Competitor had better devices
0257-KXZGU,Female,29,Yes,1,95051,9,32,Offer C,Yes,Yes,Month-to-Month,No,Bank Withdrawal,62.45,3110.51,0.0,Stayed,,
0257-ZESQC,Female,80,Yes,0,92571,2,27,None,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,2118.89,0.0,Churned,Attitude,Attitude of support person
0258-NOKBL,Male,22,No,0,95540,0,3,None,Yes,Yes,Month-to-Month,No,Bank Withdrawal,90.4,362.89,0.0,Joined,,
0259-GBZSH,Male,22,No,0,92122,0,2,Offer E,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.65,262.36,0.0,Churned,Competitor,Competitor made better offer
0260-ZDLGK,Female,50,No,2,91773,0,9,None,Yes,Yes,Month-to-Month,Yes,Credit Card,72.9,970.81,0.0,Churned,Competitor,Competitor made better offer
0263-FJTQO,Male,53,Yes,2,95672,10,50,Offer B,Yes,Yes,Two Year,Yes,Credit Card,70.5,5711.15,0.0,Stayed,,
0264-CNITK,Female,45,Yes,2,96106,1,71,None,Yes,No,Two Year,No,Bank Withdrawal,20.1,3592.73,0.0,Stayed,,
0265-EDXBD,Male,76,Yes,0,92122,2,32,Offer C,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,3818.23,0.0,Churned,Attitude,Attitude of support person
0265-PSUAE,Female,57,Yes,3,95651,10,16,Offer D,Yes,Yes,Month-to-Month,No,Bank Withdrawal,100.7,1959.02,0.0,Stayed,,
0266-CLZKZ,Female,45,Yes,3,92078,8,67,Offer A,Yes,Yes,Two Year,Yes,Bank Withdrawal,105.65,7909.83,0.0,Stayed,,
0266-GMEAO,Male,43,Yes,1,93436,1,72,None,Yes,Yes,Two Year,Yes,Credit Card,114.3,9206.23,0.0,Stayed,,
0268-QKIWO,Female,41,No,0,95664,0,3,Offer E,Yes,No,Month-to-Month,No,Bank Withdrawal,19.75,132.74,0.0,Churned,Attitude,Attitude of support person
0269-XFESX,Male,22,Yes,3,94133,1,23,None,Yes,No,One Year,No,Credit Card,24.35,1642.96,0.0,Stayed,,
0270-THENM,Male,62,Yes,2,91345,1,72,None,Yes,Yes,Two Year,No,Bank Withdrawal,69.85,7144.990000000001,25.24,Stayed,,
0274-JKUJR,Male,21,Yes,2,90040,9,7,Offer E,No,Yes,Month-to-Month,No,Credit Card,-3.0,465.7,0.0,Stayed,,
0277-BKSQP,Male,49,Yes,3,90710,10,8,Offer E,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,54.4,487.58000000000004,0.0,Stayed,,
0277-ORXQS,Male,33,Yes,4,94108,9,66,Offer A,No,Yes,Two Year,No,Bank Withdrawal,50.55,3474.55,0.0,Stayed,,
0278-YXOOG,Male,30,No,0,90301,0,5,Offer E,Yes,No,Month-to-Month,No,Credit Card,21.05,285.15,0.0,Churned,Attitude,Attitude of support person
0280-XJGEX,Male,38,No,1,90015,0,49,None,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,103.7,7208.47,0.0,Churned,Competitor,Competitor had better devices
0281-CNTZX,Male,56,Yes,0,94060,2,63,Offer B,Yes,No,Two Year,Yes,Bank Withdrawal,19.95,3651.4799999999996,0.0,Stayed,,
